Week ending,Date,Passengers,gocardcomplaints,othercomplaints,gocardcomplaintsper,othercomplaintsper
08/07/2012,98,3035219.91,171,728,0.56,2.398508251
15/07/2012,105,3399838.85,216,910,0.64,2.676597449
22/07/2012,112,3519444.41,195,768,0.55,2.182162611
29/07/2012,119,3805739.77,278,763,0.73,2.004866456
05/08/2012,126,3835969.57,250,797,0.65,2.077701572
12/08/2012,133,3945819.12,261,840,0.66,2.128835544
19/08/2012,140,3545380.77,289,863,0.82,2.434153215
26/08/2012,147,3769709.11,356,1097,0.94,2.910038856
02/09/2012,154,3727193.82,273,868,0.73,2.328829788
09/09/2012,161,3722039.57,238,824,0.64,2.213839977
16/09/2012,168,3757205.39,251,823,0.67,2.190457838
23/09/2012,175,3688148.15,232,815,0.63,2.20978108
30/09/2012,182,3177720.84,220,744,0.69,2.341300694
07/10/2012,189,2906172.3,270,611,0.93,2.102421801
14/10/2012,196,3679515,449,936,1.22,2.543813516
21/10/2012,203,3792131.71,279,913,0.74,2.407616799
28/10/2012,210,3611722.15,278,828,0.77,2.292535157
04/11/2012,217,3488286.03,309,818,0.89,2.344991187
11/11/2012,224,3567280.21,206,762,0.58,2.136081145
18/11/2012,231,3528976.94,221,818,0.63,2.317952242
25/11/2012,238,3493858.67,219,800,0.63,2.289731997
02/12/2012,245,3433696.25,239,901,0.7,2.623994479
09/12/2012,252,3201021.88,224,763,0.7,2.383613822
16/12/2012,259,3111801.93,222,770,0.71,2.474450553
23/12/2012,266,2868103.8,206,703,0.72,2.451096783
