team_name,home_score,home_turnovers,away_score_q5,away_turnovers,first_down_sum,first_downs_tot,yards_gained,defense_ffum,defense_qbhit,kicking_fga,kicking_fgm,kicking_touchback,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_tds,passing_yds,receiving_rec,receiving_tar,receiving_tds,receiving_yac_yds,receiving_yds,rushing_att,rushing_tds,rushing_yds,offense_yds,offense_tds,tot_turnovers,play_count,Wins,Losses
ARI,377,24,0,23,373,373,6527,21,100,31,28,50,776,563,353,3001,35,4775,353,551,35,1774,4775,452,16,1917,11460,86,24,3042,13,3
ATL,368,22,3,17,359,359,5943,11,71,31,25,52,667,621,410,2763,21,4602,410,617,21,1839,4602,420,13,1611,10769,56,30,3145,8,8
BAL,352,16,6,11,324,323,5727,7,86,40,33,63,857,677,427,2336,21,4462,427,669,21,2078,4462,383,8,1478,10380,50,28,3244,5,11
BUF,377,19,0,11,297,297,5764,9,68,27,23,42,772,465,295,2327,23,3600,295,462,23,1269,3600,509,19,2432,9621,65,19,3042,8,8
CAR,436,17,3,15,357,357,5920,22,102,36,30,69,407,502,300,2389,35,3873,300,495,35,1484,3873,526,19,2282,10075,90,19,3158,15,1
CHI,348,11,6,25,312,312,5502,6,90,39,33,39,892,523,334,2010,21,3843,334,519,21,1837,3843,469,13,1851,9525,55,21,2970,6,10
CIN,338,14,0,20,324,324,5675,10,101,28,23,42,700,505,334,2321,31,4104,334,495,31,1783,4104,468,18,1804,9952,80,17,3098,12,4
CLE,380,25,6,23,307,307,5309,14,64,32,28,27,1041,609,371,2135,20,4156,371,601,20,1978,4156,381,5,1529,9837,45,30,3140,3,13
DAL,300,18,6,21,307,307,5355,6,75,32,30,49,704,529,334,1899,16,3677,334,519,16,1778,3677,408,8,1888,9238,40,33,3001,4,12
DEN,321,13,3,17,314,314,5685,22,118,35,30,55,588,606,368,2360,19,4216,368,604,19,1856,4216,411,13,1718,10147,51,31,3198,12,4
DET,404,23,0,10,337,336,5544,14,95,24,22,40,1220,632,420,1981,33,4463,420,623,33,2482,4463,354,7,1336,10257,73,25,3165,7,9
GB,372,11,0,12,317,317,5338,10,94,28,24,41,881,573,348,1865,31,3825,348,565,31,1960,3825,436,8,1850,9484,71,17,3137,10,6
HOU,351,16,0,12,335,335,5568,11,98,27,23,33,430,619,358,2736,29,4079,358,614,29,1343,4079,472,7,1731,9889,65,20,3320,9,7
IND,401,13,3,19,311,311,5141,13,82,27,25,67,1047,619,355,2286,26,3928,355,604,26,1642,3928,396,6,1438,9293,58,30,3227,8,8
JAC,461,17,0,13,313,313,5523,14,69,30,26,55,721,607,355,2534,35,4428,355,601,35,1894,4428,354,5,1460,10265,75,28,3154,5,11
KC,349,23,0,13,303,303,5298,12,76,37,30,40,791,473,310,1543,20,3493,310,463,20,1953,3493,437,19,2041,9026,59,15,2889,11,5
MIA,356,18,0,18,291,291,5292,8,83,16,13,44,958,589,366,2384,24,4233,366,582,24,1848,4233,343,11,1494,9945,59,19,3185,6,10
MIN,343,21,0,21,297,297,5138,10,104,39,34,47,1190,454,294,1444,14,3246,294,443,14,1802,3246,474,18,2211,8701,46,17,2919,11,5
NE,426,22,0,18,348,348,5995,23,88,36,33,69,469,629,404,2372,36,4812,404,624,36,2440,4812,383,14,1404,11028,86,14,3259,12,4
NO,482,16,6,14,383,382,6472,17,60,26,18,44,605,667,461,2610,32,5213,461,664,32,2586,5213,396,16,1489,11915,80,20,3262,7,9
NYG,447,19,3,18,331,331,5943,18,77,32,30,37,966,622,391,2414,36,4515,391,614,36,2101,4515,404,5,1609,10595,77,21,3430,6,10
NYJ,388,21,3,17,329,329,5893,15,103,33,27,34,771,604,362,2281,33,4170,362,602,33,1889,4170,448,11,1868,10176,77,24,3246,10,6
OAK,354,15,0,15,300,300,5323,13,63,26,21,44,1268,605,373,2284,34,4129,373,601,34,1845,4129,370,7,1455,9702,75,24,3194,7,9
PHI,399,20,6,27,339,339,5775,19,84,26,21,42,565,623,405,2146,23,4341,405,620,23,2185,4341,444,15,1740,10356,61,32,3354,7,9
PIT,413,21,3,15,331,331,6322,16,84,42,35,38,701,590,391,2912,26,4817,391,584,26,1905,4817,388,16,1724,11358,68,27,3171,10,6
SD,363,14,0,10,344,344,5944,10,66,32,26,41,583,668,443,2210,30,4856,443,660,30,2639,4856,392,4,1357,11064,64,24,3209,4,12
SEA,331,26,0,20,335,335,6021,18,101,31,29,47,868,490,333,2199,34,4059,333,472,34,1860,4059,501,10,2269,10351,78,16,3046,10,6
SF,366,24,6,21,261,261,4845,5,75,27,24,38,993,526,322,1705,16,3646,322,523,16,1941,3646,391,7,1544,8818,39,17,3093,5,11
STL,333,23,0,25,241,241,4756,20,108,31,21,40,830,473,273,1301,11,2931,273,468,11,1630,2931,429,16,1958,7804,38,22,3063,7,9
TB,364,17,3,12,336,336,5994,19,85,40,29,44,506,535,312,2552,22,4044,312,525,22,1492,4044,454,12,2159,10228,56,28,3188,6,10
TEN,344,22,6,19,298,298,4981,11,63,16,14,43,680,552,342,2297,25,3893,342,544,25,1596,3893,371,10,1485,9255,60,33,2961,3,13
WAS,436,19,0,20,318,318,5674,22,75,30,26,53,1002,555,386,2314,30,4294,386,555,30,1978,4294,429,9,1582,10162,69,22,3120,9,7
